,idx,source_prompt,target_prompt,instructions
807,400922-output1,A sign hanging of the side of a building on top of a clock with a smiley face logo.,A sign hanging of the side of a building on top of a clock with a smiley face logo missing an hour hand.,Remove the hour hand on the clock.
808,173401-input,THERE ARE TWO COWS THAT ARE WALKING IN THE GRASS,A cow leaping in the grassy field,let the cow leap
809,173401-output1,A cow leaping in the grassy field,A cow leaping in the grassy field next to a dirt road,let the road be a dirt road
810,173401-output2,A cow leaping in the grassy field next to a dirt road,A cow leaping in the grassy field next to a parking lot and dirt road,let there be a parking lot
811,385026-input,The reflection of the forest through a bathroom mirror.,The reflection of the ocean through a bathroom mirror.,change the view for an ocean
812,385026-output1,The reflection of the ocean through a bathroom mirror.,The reflection of buildings in the ocean through a bathroom mirror.,put buildings in place of trees
813,512442-input,A woman holding a bowl in her hand standing next to a baby elephant.,A woman standing next to a baby elephant.,take the bowl off her hand
814,512442-output1,A woman standing next to a baby elephant.,A woman standing next to a baby giraffe.,replace the elephant with a baby giraffe
815,92661-input,A cluttered living room with a laptop computer.,A cluttered living room with a leather couch and a laptop computer.,let the couch be made of leather
816,92661-output1,A cluttered living room with a leather couch and a laptop computer.,A cluttered living room with a leather couch and a laptop computer showing pictures of animals.,let the laptop show animals
817,92661-output2,A cluttered living room with a leather couch and a laptop computer showing pictures of animals.,"A cluttered living room with a red door, a leather couch, and a laptop computer showing pictures of animals.",let the door be red
818,132847-input,The old style airplane has a flag on it's tail.,The old style airplane has a Canadian flag on its tail.,change the British flag into a Canadian flag
819,132847-output1,The old style airplane has a Canadian flag on its tail.,The old style airplane with a Canadian flag on its tail.,remove the numbers
820,132847-output2,The old style airplane with a Canadian flag on its tail.,A man crouches under the old style airplane with a Canadian flag on its tail.,let a man crouch under the plane
821,513200-input,A giraffe and its child walking through a field.,A giraffe walking through a field with its child under its belly.,put the baby giraffe under its mother
822,536103-input,"A plate topped with sausage, potatoes and toast.","A plate topped with sausage, baked beans and toast.",replace potatoes with baked beans
823,536103-output1,"A plate topped with sausage, baked beans and toast.","A plate topped with sausage, baked beans, and a single slice of toast.",let there be a single slice of toast
824,536103-output2,"A plate topped with sausage, baked beans, and a single slice of toast.","Kid holding a plate topped with sausage, baked beans, and a single slice of toast.",make a kid hold the plate
825,37662-input,A cap with a coat-of-arms sits on a baseball and baseball glove in a field.,A cap with a coat-of-arms,remove everything and leave the cap
826,37662-output1,A cap with a coat-of-arms,A cap with the Japanese flag and a coat-of-arms,put the japanese flag on the cap
827,241319-input,A bathroom sink with two toothbrushes facing each other.,A bathroom sink with two toothbrushes facing each other and a rubber duck.,Add a rubber duck.
828,254004-input,Baggage handlers are an airport loading luggage onto a plane.,Baggage handlers at an airport loading a crate onto a plane.,turn the luggage into a crate
829,254004-output1,Baggage handlers at an airport loading a crate onto a plane.,Men in suits and baggage handlers at an airport loading a crate onto a plane.,add men in suits
830,254004-output2,Men in suits and baggage handlers at an airport loading a crate onto a plane.,"Men in suits, baggage handlers, and a golf cart at an airport loading a crate onto a plane.",add a golf cart
831,367375-input,a horse is pulling a green and yellow carriage,Passengers singing while a horse pulls a green and yellow carriage,make the passengers sing
832,367375-output1,Passengers singing while a horse pulls a green and yellow carriage,Passengers singing while a horse with a long mane pulls a green and yellow carriage,make the horse have a long mane
833,367375-output2,Passengers singing while a horse with a long mane pulls a green and yellow carriage,Passengers singing while a horse with a long mane and neighing pulls a green and yellow carriage,make the horse neigh
834,396330-input,three guys standing around in a gym near a basketball hoop,Three guys raising their hands in celebration at a gym near a basketball hoop,let the guys raise their hands
835,396330-output1,Three guys raising their hands in celebration at a gym near a basketball hoop,Three guys raising their hands in celebration at a gym,remove the basketball hoop
836,396330-output2,Three guys raising their hands in celebration at a gym,Three guys celebrating in an indoor swimming pool at a gym,let there be an indoor swimming pool
837,208868-input,A red table topped with dishes on top of a red table cloth.,A pizza on a plate on top of a red table cloth and dishes.,put a pizza on a plate
838,208868-output1,A pizza on a plate on top of a red table cloth and dishes.,A pizza and a glass of wine on a red table cloth and dishes.,put a glass of wine next to the pizza
839,208868-output2,A pizza and a glass of wine on a red table cloth and dishes.,"A pizza and a glass of wine on a red table cloth and dishes, without a candle.",remove the candle
840,326174-input,A group of people are taking surfing lessons.,A group of people enjoying the beach.,Remove all the surfboards.
841,326174-output1,A group of people enjoying the beach.,A group of people enjoying the beach with a boat.,Add a boat.
842,326174-output2,A group of people enjoying the beach with a boat.,A group of people enjoying the beach with a boat and birds in the sky.,Add birds to the sky.
843,489358-input,A food truck is parked in front of other cars on the street.,A school bus is parked in front of other cars on the street.,swap the truck for a school bus
844,489358-output1,A school bus is parked in front of other cars on the street.,A school bus is parked in front of bicycles on the street.,remove the cars and put bicycles behind the bus
845,512854-input,A man playing a game with a remote controller.,A man holding a trophy while playing a game with a remote controller.,make the man hold a trophy
846,512854-output1,A man holding a trophy while playing a game with a remote controller.,A man dressed in a Halloween costume holding a trophy while playing a game with a remote controller.,let the man be dressed in a Halloween costume
847,512854-output2,A man dressed in a Halloween costume holding a trophy while playing a game with a remote controller.,A man dressed in a Halloween costume holding a trophy while playing a game with a remote controller on a fluffy bed.,turn the couch into a fluffy bed
848,213547-input,A woman holding a small cake with lit candles.,A woman sitting on a chair holding a small cake with lit candles.,Let the woman sit on a chair.
849,130586-input,a boy making a face while running to get his kite in the air,A boy making a face while running to get a bird in the air.,Replace the kite with a bird.
850,130586-output1,A boy making a face while running to get a bird in the air.,A girl making a face while running to get a bird in the air.,Replace the boy with girl.
851,130586-output2,A girl making a face while running to get a bird in the air.,A girl and her dog running to get a bird in the air.,Add a dog next to the girl.
852,274460-input,A group of people on a beach with surf boards.,A group of people enjoying the beach.,Remove the surfboards.
853,274460-output1,A group of people enjoying the beach.,A group of people and a dog enjoying the beach.,Add a dog.
854,499733-input,A man beside a valley stands beneath an umbrella in the rain,A man with futuristic glasses beside a valley stands beneath an umbrella in the rain.,Give the guy futuristic glasses.
855,499733-output1,A man with futuristic glasses beside a valley stands beneath an umbrella in the rain.,"A man with futuristic glasses beside a valley stands beneath an umbrella in the rain, smiling.",Make him smile.
856,499733-output2,"A man with futuristic glasses beside a valley stands beneath an umbrella in the rain, smiling.","A bald man with futuristic glasses beside a valley stands beneath an umbrella in the rain, smiling.",Make the man bald.
857,415958-input,A woman looks around a very small kitchen.,A man looks around a very small kitchen.,Change the woman to a man.
858,3661-input,A bunch of bananas sitting on top of a wooden table.,A bunch of oranges sitting on top of a wooden table.,Replace the bananas with oranges.
859,3661-output1,A bunch of oranges sitting on top of a wooden table.,A bunch of oranges and a glass of water sitting on top of a wooden table.,Add a glass of water.
860,438876-input,A senior tennis player prepares to backhand the ball.,"A senior tennis player holds a tennis ball, preparing to backhand it.",let the man hold a tennis ball
861,438876-output1,"A senior tennis player holds a tennis ball, preparing to backhand it.","A senior tennis player sticks his tongue out while holding a tennis ball, preparing to backhand it.",let the man stick his tongue out
862,438876-output2,"A senior tennis player sticks his tongue out while holding a tennis ball, preparing to backhand it.","A senior hockey player sticks his tongue out while holding a hockey ball, preparing to backhand it.",replace the tennis racquet into a stick
863,172686-input,A table topped with oranges and a bowl of salad.,"A table topped with oranges, a bowl of salad, and a bowl of dessert.",let there be a bowl of dessert
864,172686-output1,"A table topped with oranges, a bowl of salad, and a bowl of dessert.","A table topped with oranges, watermelons, a bowl of salad, and a bowl of dessert.",let there be water melons on the table
865,172686-output2,"A table topped with oranges, watermelons, a bowl of salad, and a bowl of dessert.","A table topped with oranges, watermelons, a bowl of salad, and a bowl of dessert being sniffed by a curious rat.",let a rat sniff the bowl
866,144269-input,People sitting on a train with one person looking up at a mirror and taking a photo of the reflection with a camera.,"People sitting on a train with one person looking up at a mirror and taking a photo of the reflection with a camera, featuring a man with longer hair.",give the man a longer hair
867,144269-output1,"People sitting on a train with one person looking up at a mirror and taking a photo of the reflection with a camera, featuring a man with longer hair.",Man with longer hair taking a photo of his reflection on a train mirror.,remove the people from the background
868,221212-input,some people riding the back of an elephant,An elephant in its natural habitat.,Remove the people.
869,221212-output1,An elephant in its natural habitat.,An elephant with a shortened trunk in its natural habitat.,Make its trunk smaller.
870,127648-input,A picture of a dessert that is on the table.,A picture of a dessert with a single cherry on top.,leave only one charry on top
871,485234-input,A sliced loaf of lemon almond tea cake.,A sliced loaf of bread on the board.,It should be bread on the board.
872,485234-output1,A sliced loaf of bread on the board.,A sliced loaf of bread on the board with a cup of coffee in the background.,put a cup of coffee on the background.
873,485234-output2,A sliced loaf of bread on the board with a cup of coffee in the background.,A sliced loaf of bread with a knife on the board and a cup of coffee in the background.,Put a knife on the bread.
874,510955-input,A very pretty lady with a oven mitt in a kitchen.,A very pretty lady with glasses and an oven mitt in a kitchen.,Let the woman wear glasses.
875,475169-input,Several pigeons eating food off of the sidewalk.,Cat watching several pigeons eating food off of the sidewalk.,Have a cat watch the pigeons.
876,276055-input,A woman holding up a large carrot in a backyard.,A woman wearing a mask holding up a large carrot in a backyard.,make the woman wear a mask
877,280490-input,A meal is nicely laid out on a table.,A meal with a pancake nicely laid out on a table.,Can we have a pancake on the tray?
878,280490-output1,A meal with a pancake nicely laid out on a table.,A meal with pancakes and fries nicely laid out on a table.,Put some fries next to the pancakes.
879,329737-input,a very old computer on a black background,A very old yellow keyboard computer on a black background,let the keyboard be yellow
880,329737-output1,A very old yellow keyboard computer on a black background,A very old yellow keyboard computer with a blue webpage on a black background,let the computer have a blue webpage
881,329737-output2,A very old yellow keyboard computer with a blue webpage on a black background,A very old yellow keyboard computer with a blue webpage on a black background and a hamster instead of a mouse,replace the mouse with a hamster
882,466567-input,A tree with a donut as an ornament,A tree with an apple as an ornament,Make the donut an apple.
883,139653-input,The patio umbrella is standing erect in the sun.,Flock of birds fly by as the patio umbrella stands erect in the sun.,Have there be a flock of birds flying by
884,539143-input,A train traveling under a rusted bridge on top of tracks.,A happy train traveling under a rusted bridge on top of tracks.,Make the train smile with eyes and a mouth.
885,539143-output1,A happy train traveling under a rusted bridge on top of tracks.,A happy train stopped in front of a train station building.,Have the train stopped in front of a train station building.
886,529266-input,a horse stands on a beach as a light house over looks it,A white horse stands on a beach as a light house over looks it,change the brown horse to white
887,529266-output1,A white horse stands on a beach as a light house over looks it,A white horse stands on a beach as a light house over looks it with a boat in the distance,add a boat
888,529266-output2,A white horse stands on a beach as a light house over looks it with a boat in the distance,A white horse stands on a beach surrounded by tall shrubs as a lighthouse overlooks it with a boat in the distance.,add tall shrubs
889,376773-input,Three people with a baseball equipment standing in an open area.,Three people with a baseball equipment and an alien standing in an open area.,Have there be an alien next to the kids
890,376773-output1,Three people with a baseball equipment and an alien standing in an open area.,Three people with a baseball equipment and an alien standing in an open area with a swimming pool by the kids.,Have there be a swimming pool by the kids
891,148508-input,"A black and white picture of a busy street, only red is in color, a red double decker bus drives down the road.","A black and white picture of a busy street, only red is in color, a yellow double decker bus drives down the road.",The bus is yellow.
892,446917-input,A person riding a racing bicycle with a banana and sunscreen in their back pocket.,A person riding a racing motorcycle with a banana and sunscreen in their back pocket.,let the bike be replaced by a motorcycle
893,446917-output1,A person riding a racing motorcycle with a banana and sunscreen in their back pocket.,A person riding a racing motorcycle with a carrot and sunscreen in their back pocket.,let there be a carrot instead of the banana
894,446917-output2,A person riding a racing motorcycle with a carrot and sunscreen in their back pocket.,"A person riding a racing motorcycle with a carrot, sunscreen, and a traffic cone in their back pocket.",let there be a traffic cone
895,271402-input,two little girls in tennis uniforms standing next to a scooter,Little girl in tennis uniform standing next to a scooter.,Remove one of the girls.
896,271402-output1,Little girl in tennis uniform standing next to a scooter.,Little girl in tennis uniform standing next to a scooter with a cat.,Add a cat.
897,161047-input,A great shot of a full kitchen and partially a table.,A great shot of a full kitchen and a table with a birthday cake.,Have there be a birthday cake on the table
898,161047-output1,A great shot of a full kitchen and a table with a birthday cake.,A child celebrates their birthday at a fully stocked kitchen table.,Have there be a child sitting at the table
899,161047-output2,A child celebrates their birthday at a fully stocked kitchen table.,A child wearing a birthday hat celebrates their special day at a fully stocked kitchen table.,Have the child be wearing a birthday hat
900,32778-input,a guy skating on a skate board course,Man in Yellow Sweatshirt Skating on a Skateboard Course,Have the man be wearing a yellow sweatshirt
901,283638-input,"A plate with broccoli, guacamole along with an orange stir fried vegetable on the side.","Hand holding a plate with broccoli, guacamole along with an orange stir fried vegetable on the side.",What there is a hand holding the plate?
902,21404-input,A very tall clock that is by the ocean.,A very tall clock with English numbers by the ocean.,let the clock have English numbers
903,21404-output1,A very tall clock with English numbers by the ocean.,A very tall clock with English numbers surrounded by palm trees by the ocean.,let there be palm trees
904,21404-output2,A very tall clock with English numbers surrounded by palm trees by the ocean.,A flock of birds fly across a very tall clock with English numbers surrounded by palm trees by the ocean.,let a flock of birds fly across
905,544615-input,A baby playing with a Wii controller,A baby playing with a banana instead of a Wii controller,The child should be holding a banana.
906,391388-input,"A bowl of broccoli, onions, white rice and brown rice.","A bowl of white rice, brown rice, and an apple.",remove the broccoli and onions and add an apple
907,163852-input,a square plate with all kinds of vegetables on the plate,A square plate with all kinds of vegetables and a tomato slice on the plate.,Let the fried food be replaced by a tomato slice.
908,171757-input,a couple of people that are standing up in a room,Woman holding a bottle of wine while standing with a man in a room,What if the woman was holding a bottle of wine?
909,434217-input,A couple of people playing frisbee in the grass.,A couple of people enjoying soda in the grass.,Make the frisbee a bottle of soda
910,410366-input,Two little boys who are standing in the dirt.,Two little boys playing with a ball in the dirt.,If it was a ball they are playing?
911,410366-output1,Two little boys playing with a ball in the dirt.,Two little boys playing with a ball by the lake.,Put a lake on the background.
912,410366-output2,Two little boys playing with a ball by the lake.,Two little boys and a girl playing with a ball by the lake.,We could put a girl on it.
913,118209-input,a couple of horse that are next to a fence,Horses with saddles standing next to a fence,put saddles on the horses
914,118209-output1,Horses with saddles standing next to a fence,Horses with saddles and shoes standing next to a fence,give the horses shoes
915,118209-output2,Horses with saddles and shoes standing next to a fence,Horses with saddles and shoes standing next to a fence with a hill in the background,make a hill in the background
916,439602-input,Hot dogs are wrapped in a bacon and topped with melted cheese.,"Bacon-wrapped hot dogs topped with melted cheese, no buns.",let the hot dogs have no buns
917,439602-output1,"Bacon-wrapped hot dogs topped with melted cheese, no buns.","Bacon-wrapped hot dogs topped with melted cheese, no buns, on a transparent plate.",let the plate be transparent
918,439602-output2,"Bacon-wrapped hot dogs topped with melted cheese, no buns, on a transparent plate.","Hand holding a bacon-wrapped hot dog topped with melted cheese, no buns, on a transparent plate.",let a hand touch the hot dog
919,77444-input,An assortment of colorful baked goods on a table.,An assortment of colorful canapes and baked goods on a table.,replace donuts with canapes
920,77444-output1,An assortment of colorful canapes and baked goods on a table.,An assortment of colorful canapes and baked goods with a cup of tea on a table.,add a cup of tea
921,77444-output2,An assortment of colorful canapes and baked goods with a cup of tea on a table.,An assortment of colorful canapes and baked goods with a cup of tea on a table next to an open laptop.,add an open laptop
922,398157-input,"A bathroom with mirror, sink, toilet and bathtub.","A bathroom with mirror, sink, toilet, bathtub, and a vase of flowers on the counter.",Let's add a vase of flowers to the counter.
923,339634-input,A blue and white plate with food on it.,A blue and white plate with lobster and other food on it.,let there be lobster on the plate
924,339634-output1,A blue and white plate with lobster and other food on it.,"A blue and white plate with lobster, other food, and dipping sauce on it.",let there be dipping sauce
925,158702-input,a plant and a white toilet in a bathroom,An open white toilet and a plant in a bathroom,let the toilet be open
926,158702-output1,An open white toilet and a plant in a bathroom,An open white toilet and a bathroom plant with blue flowers,let the plant have blue flowers
927,158702-output2,An open white toilet and a bathroom plant with blue flowers,An open white toilet and a bathroom plant with blue flowers behind open shower curtains,open the shower curtains
928,277020-input,A man sitting at a bar being served by a woman,A happy man sitting at a bar being served by a woman,Make the man smile.
929,277020-output1,A happy man sitting at a bar being served by a woman,A happy blonde man sitting at a bar being served by a woman,Make the man blonde.
930,277020-output2,A happy blonde man sitting at a bar being served by a woman,"A happy blonde man sitting at a bar being served by a woman, with a plain tie.",Remove the stripes from the man's tie.
931,425609-input,Three mini cupcakes are displayed with two forks.,Three mini cupcakes are displayed with two spoons.,Change the forks to spoons
932,425609-output1,Three mini cupcakes are displayed with two spoons.,"Three mini cupcakes are displayed with two spoons, one with strawberry frosting.",Add strawberry frosting to one of the cupcakes
933,425609-output2,"Three mini cupcakes are displayed with two spoons, one with strawberry frosting.","Three mini cupcakes with a strawberry on top of the one with strawberry frosting, displayed with two spoons.",Add a strawberry on top of the cupcake with frosting
934,228435-input,"A bathroom sink topped with soap, cosmetics and a hairbrush.","A bathroom sink topped with soap, cosmetics and a hairbrush.",get rid of the towel
935,392991-input,A white cake with chocolate being poured over the top of it.,A white cake waiting to be topped at the bakery.,remove the chocolate from the cake
936,392991-output1,A white cake waiting to be topped at the bakery.,A white cake topped with a fresh strawberry at the bakery.,put strawberry on top of the cake
937,392991-output2,A white cake topped with a fresh strawberry at the bakery.,A white cake topped with a fresh strawberry at the bakery.,remove the chocolate spoon
938,360762-input,A basket with a stuffed teddy bear hangs outside.,A basket with a stuffed rabbit hangs outside.,put a rabbit in the basket instead of the bear
939,360762-output1,A basket with a stuffed rabbit hangs outside.,A basket with a stuffed rabbit and an egg hangs outside.,add an egg to the photo
940,25528-input,A young child at bat during a baseball game.,A young child at bat during a baseball game with the pitcher wearing gloves.,let the pitcher wear gloves
941,25528-output1,A young child at bat during a baseball game with the pitcher wearing gloves.,A young child in military uniform at bat during a baseball game with the pitcher wearing gloves.,change the baseball outfit of the batter into a military uniform
942,25528-output2,A young child in military uniform at bat during a baseball game with the pitcher wearing gloves.,"A young child in military uniform at bat during a baseball game with the pitcher wearing gloves, surrounded by conifers.",remove the buildings at the back and change them to conifers
943,466945-input,A picture of a person walking down the road.,A person walking down the road with a spaceship in the sky.,Have there be a spaceship in the sky
944,466945-output1,A person walking down the road with a spaceship in the sky.,A person and an alien walking down the road with a spaceship in the sky.,Have there be an alien walking on the sidewalk
945,485083-input,A black and white cat sitting on top of a bag of luggage.,A black and white cat sitting on top of a bag of luggage with a rat on the floor.,Let's add a rat on the floor.
946,12766-input,There is a plate of sushi and a bowl of soup and drinks on a tray,There is a plate of sushi and a bowl of soup and a glass of wine on the table,Could it be a glass of wine on the table?
947,12766-output1,There is a plate of sushi and a bowl of soup and a glass of wine on the table,"There is a plate of sushi, a bowl of soup, a bowl of eggs, and a glass of wine on the table.",Put a bowl of eggs on the table.
948,12766-output2,"There is a plate of sushi, a bowl of soup, a bowl of eggs, and a glass of wine on the table.","There is a plate of sushi, a bowl of soup, a bowl of eggs, and a bottle of wine next to a glass on the table.",It should be a bottle of wine next to the glass.
949,127517-input,A row of surfboards sticking out of the sand sitting next to each other.,A row of surfboards sticking out of the sand sitting next to each other with the legs of a lifeguard stand.,Add the legs of a lifeguard stand.
950,127517-output1,A row of surfboards sticking out of the sand sitting next to each other with the legs of a lifeguard stand.,A seagull watches over a row of surfboards sticking out of the sand next to a lifeguard stand.,Put a seagull on the beach.
951,127517-output2,A seagull watches over a row of surfboards sticking out of the sand next to a lifeguard stand.,A seagull watches over a row of surfboards sticking out of the sand next to a lifeguard stand and a beach umbrella.,Put a beach umbrella by the seagull.
952,409050-input,An open and airy sitting room that leads to a patio.,An open and airy sitting room that leads to a patio with no table.,delete the table
953,409050-output1,An open and airy sitting room that leads to a patio with no table.,An open and airy sitting room with an aquarium door that leads to a patio with no table.,turn the glass door in an aquarium
954,327702-input,Woman and infant son hand feeding giraffe at zoo,Woman hand feeding giraffe at zoo with a bag,replace the child with a bag
955,327702-output1,Woman hand feeding giraffe at zoo with a bag,Woman hand feeding tiger at zoo with a bag,let the woman feed a tiger
956,153669-input,a batter after he has hit a pitched ball before he is going to run,"A batter after he has hit a pitched ball before he is going to run, wearing a top hat.",Replace his helmet with a top hat.
957,297426-input,Four photographs of the portions of a keyboard and a mouse.,Four photographs of the portions of a keyboard and a mouse with a lizard next to the mouse.,add a lizard next to the mouse
958,297426-output1,Four photographs of the portions of a keyboard and a mouse with a lizard next to the mouse.,Four photographs of a keyboard and a mouse with a lizard next to the mouse.,remove the black panels
959,297426-output2,Four photographs of a keyboard and a mouse with a lizard next to the mouse.,"Five gadgets on a desk: keyboard, mouse, cellphone, and a lizard.",add a cellphone
960,52603-input,A young man reaching  to catch a frisbee,A young man reaching to catch a football,Change the frisbee to a football
961,52603-output1,A young man reaching to catch a football,A young man in a blue jersey reaching to catch a football,Have the man be wearing a blue jersey
962,52603-output2,A young man in a blue jersey reaching to catch a football,A young man in a blue jersey reaching to catch a football with a dog running towards him,Have there be a dog running towards the man
963,258674-input,A parking meter lies askew on a street.,A white car parked next to a askew parking meter on a street.,Let the car be painted white.
964,382559-input,A white table inside of a kitchen next to a window.,An empty white table inside of a kitchen next to a window.,empty the table
965,154597-input,A dining room has a booth with green seats.,A dining room has a booth with chairs.,change the green seats into chairs
966,154597-output1,A dining room has a booth with chairs.,A dining room with a round table and booth with chairs.,let the table be round
967,154597-output2,A dining room with a round table and booth with chairs.,A dining room with a round table and booth with chairs and a brown door.,let the room have a brown door
968,407650-input,A man flying through the air while riding a snowboard.,A man flying through the air on a snowboard with a helicopter in the sky.,Have there be a helicopter in the sky
969,573764-input,A group of people sitting around a table with food.,A group of people sitting around a cafeteria table with food.,change the classroom into a cafeteria
970,573764-output1,A group of people sitting around a cafeteria table with food.,A group of people sitting around a cafeteria table with school lunches.,change the pizza into school lunches.
971,349302-input,The two giraffes are standing in the dirt.,A giraffe and a monkey standing in the dirt.,Change one of the giraffes to a monkey
972,349302-output1,A giraffe and a monkey standing in the dirt.,A giraffe and a monkey standing in the dirt near a parked car.,Have there be a parked car nearby
973,56896-input,A window sitting above a white heater air conditioner.,A window sitting above a white heater air conditioner while a television shows yoga.,let the television show yoga
974,56896-output1,A window sitting above a white heater air conditioner while a television shows yoga.,A plain red curtain hanging above a white heater air conditioner while a television shows yoga.,let the curtains be plain red
975,56896-output2,A plain red curtain hanging above a white heater air conditioner while a television shows yoga.,A plain red curtain hanging above a white heater air conditioner while a television shows yoga with a view of an airport runway.,let the window show a view of an airport runway
976,144534-input,"Skillet filled with salami, broccoli and other vegetables.",Skillet filled with vegan vegetables and plant-based salami.,let the skillet have vegan food
977,144534-output1,Skillet filled with vegan vegetables and plant-based salami.,Woman holding a skillet filled with vegan vegetables and plant-based salami.,make a woman hold the skillet
978,144534-output2,Woman holding a skillet filled with vegan vegetables and plant-based salami.,"Woman holding a skillet filled with vegan vegetables and plant-based salami, drizzled with soy sauce.",change the bottle of olive oil into soy sauce
979,476335-input,a group of men working the kitchen behind a counter top,A group of men and a woman working the kitchen behind a counter top,swap one of the man for a woman
980,476335-output1,A group of men and a woman working the kitchen behind a counter top,A group of women working the kitchen behind a counter top,change the man for a woman
981,149-input,People gathered outside in a big field on a cloudy day,People gathered outside in a big field next to a river on a cloudy day,Can we have a river next to the field.
982,149-output1,People gathered outside in a big field next to a river on a cloudy day,People gathered in a field next to a river with a forest in the background on a cloudy day,Can we have a forest on the background?
983,92212-input,a group of cars parked on a street nest to street signs,A group of limousines parked on a street next to street signs,let limousines be parked
984,92212-output1,A group of limousines parked on a street next to street signs,A group of limousines parked on a street next to a Stop sign and other street signs,Change the Pay Here sign to Stop Sign
985,92212-output2,A group of limousines parked on a street next to a Stop sign and other street signs,Pedestrians walking on the side as a group of limousines parked on a street next to a Stop sign and other street signs,add pedestrians walking on the side
986,561514-input,A violet table in the middle of a white themed kitchen,A violet table in the middle of a white themed kitchen with tiled floor,let the floor be tiled
987,561514-output1,A violet table in the middle of a white themed kitchen with tiled floor,A violet table in the middle of a white themed kitchen with tiled floor and a curious raccoon on the island,add a raccoon on the island
988,561514-output2,A violet table in the middle of a white themed kitchen with tiled floor and a curious raccoon on the island,"A violet table in the middle of a white themed kitchen with tiled floor and a curious raccoon on the island, illuminated by a sparkling chandelier on the ceiling.",add a chandelier on the ceiling
989,294943-input,A cat sitting on a bathroom sink in front of it's owner.,A cat wearing a hat sitting on a bathroom sink in front of its owner.,What if the cat have a hat?
990,294943-output1,A cat wearing a hat sitting on a bathroom sink in front of its owner.,"A cat wearing a hat sitting on a bathroom sink in front of its owner, who is also wearing a hat.",Let's add a hat to the man's head.
991,146457-input,two children being entertained by preparing pizza at home.,Boy wearing a hat helps prepare pizza with his sister at home.,Let's add a hat to the boy.
992,146457-output1,Boy wearing a hat helps prepare pizza with his sister at home.,Boy wearing a hat helps prepare pizza with his sister at home while she adds ketchup.,What if the girl is holding ketchup?
993,399547-input,A green glass mug filled with tooth paste and toothbrushes.,A green glass mug filled with toothpaste and forks.,Change the toothbrushes to forks
994,551701-input,"A young girl standing on a raised utility cover in a grass yard, with a trash can behind her on the sidewalk.","A young girl standing on the grass in a yard, with a trash can behind her on the sidewalk.",Get rid of the stone so it looks like she's just on the grass.
995,551701-output1,"A young girl standing on the grass in a yard, with a trash can behind her on the sidewalk.","A young, chubby girl standing on the grass in a yard, with a trash can behind her on the sidewalk.",Make her fatter.
996,551701-output2,"A young, chubby girl standing on the grass in a yard, with a trash can behind her on the sidewalk.","A young, chubby girl standing on the grass in a yard, with a trash can behind her on the sidewalk.",Remove the frisbee.
997,67027-input,A pizza sitting on a pan covered in cheese and toppings.,A pizza sitting on a pan covered in cheese and toppings with a glass of milk.,Add a glass of milk.
998,272876-input,A person in grey sweater doing a trick on skateboard.,A person in grey sweater standing on skateboard and doing a trick.,let the boy stand on the skateboard
999,272876-output1,A person in grey sweater standing on skateboard and doing a trick.,A person in grey sweater standing on skateboard and doing a trick.,remove the door
1000,272876-output2,A person in grey sweater standing on skateboard and doing a trick.,A person in grey sweater standing on skateboard and doing a trick while being watched by a cop.,let a cop stare at the boy
1001,443320-input,A bunch of apples and oranges next to a banana.,A bunch of green apples and oranges next to a banana.,Make the apple green.
1002,443320-output1,A bunch of green apples and oranges next to a banana.,A bunch of green apples and oranges next to a banana with a pesky fly on one of the oranges.,Put a fly on one of the oranges.
1003,189461-input,an assortment of donuts in front of a coffee cup,Assortment of donuts with a coffee cup and a straw,Have a straw coming out of the cup.
1004,148634-input,A cat sleeping on top of the hood of a car.,"A cat sleeping on top of the hood of a car, hugging a stuffed teddy bear.",let the cat hug a stuffed teddy bear
1005,148634-output1,"A cat sleeping on top of the hood of a car, hugging a stuffed teddy bear.","A cat sleeping on top of the hood of an open car, hugging a stuffed teddy bear.",let the car doors be open
1006,500270-input,A woman in black shirt riding a skateboard.,A woman in black shirt riding a skateboard with a UFO in the sky.,Add a UFO to the sky.
1007,500270-output1,A woman in black shirt riding a skateboard with a UFO in the sky.,A woman in black shirt riding a skateboard with a UFO in the sky and clear blue sky.,Remove the palm trees.
1008,294920-input,A glass of wine and a candle are on the table.,"A glass of wine, a candle, and a book are on the table.",Let a book sit next to the wine glass.
1009,454209-input,A type of oven in an unfinished room.,A microwave in an unfinished room.,put a microwave instead of the stove
1010,454209-output1,A microwave in an unfinished room.,A microwave and bottles on a shelf in an unfinished room.,put bottles on the shelf
1011,572765-input,A harbor full of boats on a rainy day,A harbor full of boats and a submarine on a rainy day,Have there be a submarine in the water
1012,204871-input,A red fire hydrant with a sticker of several animals on it,A red fire hydrant with a smiley face sticker on it.,Replace the animal stickers with a smiley face sticker.
1013,47294-input,"There is a demonstration taking place in the downtown area, closely observed by the police.","""No Demonstration"" sign at downtown area closely observed by police.","Change one of the signs to say ""NO"""
1014,265145-input,A woman standing next to a bar filled with bottles.,A woman laughing next to a bar filled with bottles.,make the woman laugh
1015,265145-output1,A woman laughing next to a bar filled with bottles.,A woman in an expensive ball gown laughing next to a bar filled with bottles.,let the woman wear an expensive ball gown
1016,265145-output2,A woman in an expensive ball gown laughing next to a bar filled with bottles.,A woman in an expensive ball gown laughing next to a bar filled with barbeque food.,change the bottles into barbeque food
